implementation,layer,class_id,members,member_count,Y_labels,Y_label_count,observation_tuple_sha256,interpretation
VESTA,O3,V_O3_1,VA0,1,"[{""input_acceptance"":""BOTH_LEGS_ACCEPTED"",""return_source"":""CURRENT_PRICE_X_CURRENT_INDEX"",""transition"":""WORKING_REFRESH""}]",1,a562cd88912ee1abd5ec10d50f818123f65e6a3af3f980c46c3285a856929bd7,Finite-matrix class only; singleton is not global semantic identification
VESTA,O3,V_O3_2,VA1,1,"[{""input_acceptance"":""BOTH_LEGS_ACCEPTED"",""return_source"":""CURRENT_PRICE_X_CURRENT_INDEX"",""transition"":""WORKING_REFRESH""}]",1,dc1f5f4263949b4b3570f5423dac20d050554385af839f53048c9b8b4da26e1c,Finite-matrix class only; singleton is not global semantic identification
VESTA,O3,V_O3_3,VA2,1,"[{""input_acceptance"":""PRICE_REJECTED_INDEX_ACCEPTED"",""return_source"":""CACHED_PRICE_X_CURRENT_INDEX"",""transition"":""WORKING_TO_UNTRUSTED""}]",1,5eda9956c942e404261a81c02c6cd48b320a01500839ffd3a16cdc3fb51ad769,Finite-matrix class only; singleton is not global semantic identification
VESTA,O3,V_O3_4,VA3,1,"[{""input_acceptance"":""PRICE_CALL_FAILED_INDEX_ACCEPTED"",""return_source"":""CACHED_PRICE_X_CURRENT_INDEX"",""transition"":""UNTRUSTED_UNCHANGED""}]",1,c6e25d081ff6c92e7639a81105c86ad437250c7f684b428d2e74f29f66c9eb8a,Finite-matrix class only; singleton is not global semantic identification
VESTA,O3,V_O3_5,VA4,1,"[{""input_acceptance"":""BOTH_LEGS_ACCEPTED"",""return_source"":""CURRENT_PRICE_X_CURRENT_INDEX"",""transition"":""UNTRUSTED_TO_WORKING""}]",1,13f35e69d9a24c9eb47bc59c9a3d81655fef7b17577d5a06879a20c5520cff03,Finite-matrix class only; singleton is not global semantic identification
VESTA,O3,V_O3_6,VB0,1,"[{""input_acceptance"":""BOTH_LEGS_ACCEPTED"",""return_source"":""CURRENT_PRICE_X_CURRENT_INDEX"",""transition"":""WORKING_REFRESH""}]",1,217998c57dd7e5397e8e4093324b07f0fce16eda4f90d4aa591fb2c224166763,Finite-matrix class only; singleton is not global semantic identification
VESTA,O3,V_O3_7,VB1,1,"[{""input_acceptance"":""PRICE_REJECTED_INDEX_ACCEPTED"",""return_source"":""CACHED_PRICE_X_CURRENT_INDEX"",""transition"":""WORKING_TO_UNTRUSTED""}]",1,59cf70ae4e29d0834c66c253d0ee75946c8c1e60be263ac3345c381025c9edf5,Finite-matrix class only; singleton is not global semantic identification
VESTA,O3,V_O3_8,VB2,1,"[{""input_acceptance"":""BOTH_LEGS_ACCEPTED"",""return_source"":""CURRENT_PRICE_X_CURRENT_INDEX"",""transition"":""UNTRUSTED_TO_WORKING""}]",1,acb39678bc3294042b7e830762eb333590395e8bb8cd80a4d6d4dcabe301436a,Finite-matrix class only; singleton is not global semantic identification
AURIGAMI,O3,A_O3_1,AA0,1,"[{""input_acceptance"":""TWO_REPORTS_ACCEPTED_AGGREGATE_REFRESHED"",""return_source"":""MAIN_AGGREGATE"",""transition"":""MAIN_REFRESHED""}]",1,0ad2bcf85e13c0991e2333edb14a468501702c4ce3881e09ef6443915e02fd0e,Finite-matrix class only; singleton is not global semantic identification
AURIGAMI,O3,A_O3_2,AA1,1,"[{""input_acceptance"":""NO_REPORT_INPUT_AT_READ"",""return_source"":""MAIN_AGGREGATE"",""transition"":""PERSISTED_STATE_UNCHANGED""}]",1,b85c18ee4374977d9633319c1fc3372a899c818c7ab50727c1282cc262f2451d,Finite-matrix class only; singleton is not global semantic identification
AURIGAMI,O3,A_O3_3,AA2,1,"[{""input_acceptance"":""NO_REPORT_INPUT_AT_READ"",""return_source"":""BACKUP_FEED"",""transition"":""PERSISTED_STATE_UNCHANGED""}]",1,2137397edf41d7a91b77e46ae234f2997d26e5e8e635629918389a411d958abe,Finite-matrix class only; singleton is not global semantic identification
AURIGAMI,O3,A_O3_4,AA3,1,"[{""input_acceptance"":""ONE_REPORT_ACCEPTED_AGGREGATE_NOT_REFRESHED"",""return_source"":""BACKUP_FEED"",""transition"":""RAW_ONLY_UPDATED""}]",1,a81c639c5ff9fd3f9032fb0e55605cbc02fc93672bd79a1700f1505aacad3ba3,Finite-matrix class only; singleton is not global semantic identification
AURIGAMI,O3,A_O3_5,AA4,1,"[{""input_acceptance"":""TWO_REPORTS_ACCEPTED_AGGREGATE_REFRESHED"",""return_source"":""MAIN_AGGREGATE"",""transition"":""MAIN_REFRESHED""}]",1,d9c5503149706c48643b65ef441b500ed023a7d8f32ed6977704d73d8c1d5817,Finite-matrix class only; singleton is not global semantic identification
AURIGAMI,O3,A_O3_6,AB0,1,"[{""input_acceptance"":""TWO_REPORTS_ACCEPTED_AGGREGATE_REFRESHED"",""return_source"":""MAIN_AGGREGATE"",""transition"":""MAIN_REFRESHED""}]",1,b183684afc02e86463d5169c6ed6bcb7380a5dc6c1be6e5a5e01bd03be8003a0,Finite-matrix class only; singleton is not global semantic identification
AURIGAMI,O3,A_O3_7,AB1,1,"[{""input_acceptance"":""NO_REPORT_INPUT_AT_READ"",""return_source"":""BACKUP_FEED"",""transition"":""PERSISTED_STATE_UNCHANGED""}]",1,24eabb515260195ac4a0030b8e3fbb282e04744c37017746b4fb9ad550864424,Finite-matrix class only; singleton is not global semantic identification
AURIGAMI,O3,A_O3_8,AB2,1,"[{""input_acceptance"":""TWO_REPORTS_ACCEPTED_AGGREGATE_REFRESHED"",""return_source"":""MAIN_AGGREGATE"",""transition"":""MAIN_REFRESHED""}]",1,819734bc64cfa0bfedb77ea12c6d727534eca89ca72880bdff9e8213a27e7ad6,Finite-matrix class only; singleton is not global semantic identification
FATHOM,O3,F_O3_1,FC0,1,"[{""input_acceptance"":""REFRESH_NOT_ELIGIBLE"",""return_source"":""DELAYED_RECORD"",""transition"":""UNCHANGED_NOT_ELIGIBLE""}]",1,f8ba8b948f6a41f0a9befd6ea1c0b64d8df35eda2c31607da9d28e00bba9fe4e,Finite-matrix class only; singleton is not global semantic identification
FATHOM,O3,F_O3_2,FC1,1,"[{""input_acceptance"":""SOURCE_RETRIEVAL_ACCEPTED"",""return_source"":""DELAYED_RECORD"",""transition"":""PROMOTE_EQUAL_VALUE""}]",1,2c190ccf7fa86897d675cf649d0f3eec70855308ddbab958e0479359b1754653,Finite-matrix class only; singleton is not global semantic identification
FATHOM,O3,F_O3_3,FC2,1,"[{""input_acceptance"":""SOURCE_NOT_EVALUATED_RETAINED_VALID"",""return_source"":""DELAYED_RECORD"",""transition"":""PURE_READ_UNCHANGED""}]",1,0b7bbf10cfb2dc700196ee1a479ccd9e7bc36bb21db3b15740a3219d2336228b,Finite-matrix class only; singleton is not global semantic identification
FATHOM,O3,F_O3_4,FC3,1,"[{""input_acceptance"":""SOURCE_NOT_EVALUATED_RETAINED_STALE"",""return_source"":""DELAYED_RECORD"",""transition"":""PURE_READ_UNCHANGED""}]",1,6446b5c264f16133ecab49ad9986b41d307fd7c16f24acdc7948042ab6b8c8d1,Finite-matrix class only; singleton is not global semantic identification
